Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
NFLX,11/18/22,297.33,298.00,287.00,287.98,8400157,-7.30,-2.47%
NFLX,11/17/22,294.72,299.82,291.00,295.28,9806845,-10.74,-3.51%
NFLX,11/16/22,309.94,310.49,303.61,306.02,8034157,-4.18,-1.35%
NFLX,11/15/22,309.20,312.71,302.55,310.20,14609634,10.93,3.65%
NFLX,11/14/22,290.00,311.00,288.19,299.27,17978520,9.14,3.15%
NFLX,11/11/22,274.47,290.66,271.56,290.13,9573834,15.16,5.51%
NFLX,11/10/22,265.99,275.36,260.09,274.97,9656846,20.31,7.98%
NFLX,11/09/22,259.66,260.90,254.22,254.66,7259638,-8.80,-3.34%
NFLX,11/08/22,259.92,266.08,256.88,263.46,7664379,4.86,1.88%
NFLX,11/07/22,261.06,261.15,252.09,258.60,7919586,-2.19,-0.84%
NFLX,11/04/22,272.02,274.97,255.32,260.79,11124898,-8.27,-3.07%
NFLX,11/03/22,271.25,276.29,268.80,269.06,7052929,-3.94,-1.44%
NFLX,11/02/22,286.40,,272.84,273.00,10356952,-13.75,-4.80%
NFLX,11/01/22,296.17,299.70,286.42,286.75,6913728,-5.13,-1.76%
NFLX,10/31/22,295.13,297.62,289.50,291.88,7501602,-3.84,-1.30%
NFLX,10/28/22,297.70,301.19,292.29,295.72,9960594,-1.22,-0.41%
NFLX,10/27/22,298.33,305.21,294.78,296.94,14603541,-1.68,-0.56%
NFLX,10/26/22,290.04,305.63,288.04,298.62,15733183,7.60,2.61%
NFLX,10/25/22,286.95,297.59,285.55,291.02,15079774,8.57,3.03%
NFLX,10/24/22,290.23,290.49,280.36,282.45,13322079,-7.12,-2.46%
NFLX,10/21/22,268.95,290.75,265.68,289.57,24900824,21.41,7.98%
NFLX,10/20/22,272.78,278.38,266.38,268.16,17199188,-4.22,-1.55%
NFLX,10/19/22,265.00,279.30,262.66,272.38,46668584,31.52,13.09%
NFLX,10/18/22,249.80,250.37,237.73,240.86,25621590,-4.24,-1.73%
NFLX,10/17/22,234.41,249.92,234.40,245.10,21027492,15.10,6.57%
NFLX,10/14/22,237.80,238.80,229.51,230.00,15293503,-2.51,-1.08%
NFLX,10/13/22,212.69,234.47,211.73,232.51,17498028,11.64,5.27%
NFLX,10/12/22,214.30,223.67,212.64,220.87,12946332,6.58,3.07%
NFLX,10/11/22,226.05,230.44,213.70,214.29,15272621,-15.69,-6.82%
NFLX,10/10/22,225.64,233.83,224.23,229.98,9988941,5.23,2.33%
NFLX,10/07/22,235.77,237.33,224.28,224.75,9806129,-15.27,-6.36%
NFLX,10/06/22,236.68,244.28,233.91,240.02,9180054,3.29,1.39%
NFLX,10/05/22,238.76,241.59,227.38,236.73,10819287,-4.01,-1.67%
NFLX,10/04/22,244.84,245.80,233.25,240.74,13922147,1.70,0.71%
NFLX,10/03/22,237.85,241.54,232.85,239.04,8650049,3.60,1.53%
NFLX,09/30/22,237.00,242.44,233.26,235.44,11848607,-4.27,-1.78%
NFLX,09/29/22,241.61,246.98,235.68,239.71,18982864,-5.49,-2.24%
NFLX,09/28/22,229.69,246.65,227.38,245.20,17567534,20.84,9.29%
NFLX,09/27/22,228.63,230.64,220.72,224.36,7752918,0.29,0.13%
NFLX,09/26/22,225.60,232.70,223.01,224.07,8225332,-2.34,-1.03%
NFLX,09/23/22,235.14,236.45,221.43,226.41,11207238,-10.64,-4.49%
NFLX,09/22/22,235.35,240.50,231.66,237.05,10015695,0.18,0.08%
NFLX,09/21/22,242.67,248.30,236.68,236.87,9161089,-5.98,-2.46%
NFLX,09/20/22,240.37,250.49,239.66,242.85,16063360,-0.78,-0.32%
NFLX,09/19/22,245.05,245.25,235.75,243.63,17904648,3.50,1.46%
NFLX,09/16/22,231.22,241.35,227.83,240.13,19094236,4.75,2.02%
NFLX,09/15/22,230.47,242.29,229.10,235.38,19435688,11.26,5.02%
NFLX,09/14/22,219.82,228.00,215.80,224.12,8227025,5.99,2.75%
NFLX,09/13/22,226.50,227.69,217.72,218.13,7996379,-18.40,-7.78%
NFLX,09/12/22,233.61,239.49,233.37,236.53,6044568,2.96,1.27%
NFLX,09/09/22,229.62,234.78,229.62,233.57,6702100,6.13,2.70%
NFLX,09/08/22,224.16,228.74,221.30,227.44,6735046,-1.52,-0.66%
NFLX,09/07/22,220.21,229.33,218.27,228.96,8144786,10.57,4.84%
NFLX,09/06/22,225.59,226.85,214.69,218.39,7466880,-7.72,-3.41%
NFLX,09/02/22,231.03,233.88,225.04,226.11,8164921,-3.93,-1.71%
NFLX,09/01/22,220.72,230.37,219.47,230.04,7286413,6.48,2.90%
